usage_start,product_code,usage_type,resource_id,tier,nodepool,unblended_cost_usd
2026-09-04T13:00:00Z,AmazonEC2,EUC1-NatGateway-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,0.4605815196
2026-09-04T13:00:00Z,AmazonEC2,EUC1-SpotUsage:c5ad.2xlarge,i-0c5a766c76c0b5edb,apps-serving,apps-serving,0.1204436719
2026-09-04T13:00:00Z,AmazonEKS,EUC1-AmazonEKS-Hours:perCluster,arn:aws:eks:eu-central-1:790348267926:cluster/simple-rag-cluster,,,0.1
2026-09-04T13:00:00Z,AmazonEC2,EUC1-BoxUsage:r7g.large,i-0cbd317f11af8998a,database,,0.0834775412
2026-09-04T13:00:00Z,AmazonEC2,EUC1-BoxUsage:t3.large,i-000774fc9042827fa,core-on-demand,,0.06216
2026-09-04T13:00:00Z,AmazonEC2,EUC1-BoxUsage:t3.large,i-024928ed4d6dacdf1,core-on-demand,,0.06216
2026-09-04T13:00:00Z,AmazonEC2,EUC1-SpotUsage:c5a.xlarge,i-01ad8bda61d1630ef,apps-serving,apps-serving,0.0542691143
2026-09-04T13:00:00Z,AmazonEC2,EUC1-NatGateway-Hours,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,0.052
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-024928ed4d6dacdf1,core-on-demand,,0.0429683288
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,0.0427112977
2026-09-04T13:00:00Z,AmazonVPC,EUC1-VpcEndpoint-Hours,arn:aws:ec2:eu-central-1:790348267926:vpc-endpoint/vpce-06643e750a0c407cc,shared,,0.036
2026-09-04T13:00:00Z,AmazonVPC,EUC1-VpcEndpoint-Hours,arn:aws:ec2:eu-central-1:790348267926:vpc-endpoint/vpce-02a394392d9e4ff1b,shared,,0.036
2026-09-04T13:00:00Z,AmazonEC2,EUC1-BoxUsage:r7g.large,i-04dc7d23b0e3e1853,database,,0.0293570824
2026-09-04T13:00:00Z,AWSELB,EUC1-LoadBalancerUsage,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,0.027
